SAMPLE	DATASET	CONTINENT	SUBREGION	COUNTRY	POPULATION	GENOTYPING_METHOD
HOLAZARIDIS2016_HGDP00137	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00140	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00141	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00144	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00145	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00146	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00148	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00151	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00153	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00154	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00155	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00157	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00158	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00160	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00161	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00167	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00169	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00171	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00179	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00181	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00183	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00185	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00187	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00189	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00191	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00192	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00195	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00197	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00201	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00205	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00206	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00208	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00210	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Sindhi	Microarray
HOLAZARIDIS2016_HGDP00213	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00216	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00218	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00222	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00224	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00226	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00228	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00230	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00232	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00241	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00243	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00244	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00247	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00248	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00254	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00258	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00259	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00262	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00264	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Pathan	Microarray
HOLAZARIDIS2016_HGDP00267	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00277	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00281	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00285	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00286	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00288	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00290	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00298	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00302	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00307	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00311	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00313	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00315	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00319	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00323	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00328	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00330	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00333	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Kalash	Microarray
HOLAZARIDIS2016_HGDP00336	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Burusho	Microarray
HOLAZARIDIS2016_HGDP00338	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Burusho	Microarray
HOLAZARIDIS2016_HGDP00341	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Burusho	Microarray
HOLAZARIDIS2016_HGDP00346	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Burusho	Microarray
